"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","CIV","Cote d'Ivoire",2018,2.484666135,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","DJI","Djibouti",2017,3.037430469,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","SWZ","Eswatini",2016,1.127956534,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","ETH","Ethiopia",2021,0.920786814,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GAB","Gabon",2017,2.800078012,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GMB","Gambia, The",2018,0.953023298,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GHA","Ghana",2021,0.638151928,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GTM","Guatemala",2018,1.357291347,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GIN","Guinea",2018,1.288582553,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","GNB","Guinea-Bissau",2018,1.625380101,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","HTI","Haiti",2017,1.495035392,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","IDN","Indonesia",2019,0.462696978,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","KEN","Kenya",2019,1.047909006,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","KIR","Kiribati",2020,2.041711751,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","LSO","Lesotho",2017,1.772235402,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","LBR","Liberia",2016,1.711924836,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MWI","Malawi",2019,1.517725672,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MDV","Maldives",2009,4.76033723,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MLI","Mali",2018,0.956484762,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MRT","Mauritania",2021,1.643781942,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MUS","Mauritius",2011,0.774141263,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MEX","Mexico",2020,1.975115526,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MNG","Mongolia",2020,1.683062522,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MAR","Morocco",2014,2.024852648,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","MMR","Myanmar",2014,0.48107102,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","NAM","Namibia",2015,1.686925349,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","NPL","Nepal",2022,1.543820695,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","NER","Niger",2018,1.444591325,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","NGA","Nigeria",2018,0.445345095,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","PAK","Pakistan",2020,1.383912567,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","PHL","Philippines",2020,0.422941628,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","RWA","Rwanda",2021,1.479673039,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","SEN","Senegal",2018,1.357459255,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","SLE","Sierra Leone",2018,1.468312445,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","SOM","Somalia",2022,0.910794803,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","ZAF","South Africa",2016,1.733080095,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","LKA","Sri Lanka",2021,0.876874884,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","SUR","Suriname",2012,0.77279979,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TJK","Tajikistan",2016,1.091898406,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TZA","Tanzania",2020,1.058133204,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TLS","Timor-Leste",2016,0.498634384,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TGO","Togo",2018,2.237545572,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TON","Tonga",2016,1.514713183,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","UGA","Uganda",2016,2.922892309,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","URY","Uruguay",2011,1.820255299,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","VUT","Vanuatu",2009,0.337438718,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","VNM","Viet Nam",2019,0.912275988,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","PSE","West Bank and Gaza",2009,1.408761794,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","ZMB","Zambia",2020,0.683687672,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","ZWE","Zimbabwe",2017,0.614356388,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","AFG","Afghanistan",2016,2.525901329,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BGD","Bangladesh",2016,0.633073392,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BEN","Benin",2018,2.347026907,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BTN","Bhutan",2017,1.136260582,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BOL","Bolivia",2021,0.508050926,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BIH","Bosnia and Herzegovina",2015,1.5378319,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BRA","Brazil",2022,3.435676251,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","BFA","Burkina Faso",2018,2.176740332,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","TCD","Chad",2018,4.218946889,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","CHL","Chile",2017,3.628567818,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","All","COL","Colombia",2022,1.930619746,"Percent"
